,Source,Destination,Class
0,9,4,1
1,10,6,1
2,10,7,1
3,11,1,1
4,11,3,1
5,14,6,1
6,14,7,1
7,14,10,1
8,15,1,1
9,15,4,1
10,16,1,1
11,17,15,1
12,18,2,1
13,18,7,1
14,18,10,1
15,18,14,1
16,19,16,1
17,20,2,1
18,20,8,1
19,21,9,1
20,21,17,1
21,21,19,1
22,22,19,1
23,23,18,1
24,25,15,1
25,25,16,1
26,25,19,1
27,26,18,1
28,27,2,1
29,27,26,1
30,28,2,1
31,28,8,1
32,28,18,1
33,28,26,1
34,28,27,1
35,29,2,1
36,29,9,1
37,29,21,1
38,30,11,1
39,30,19,1
40,30,22,1
41,30,25,1
42,31,8,1
43,31,20,1
44,31,29,1
45,32,18,1
46,33,10,1
47,33,14,1
48,34,13,1
49,34,15,1
50,34,17,1
51,34,22,1
52,35,15,1
53,35,34,1
54,36,30,1
55,37,2,1
56,37,21,1
57,37,24,1
58,38,9,1
59,38,15,1
60,38,17,1
61,38,22,1
62,38,34,1
63,38,35,1
64,38,37,1
65,39,15,1
66,39,17,1
67,39,21,1
68,39,34,1
69,40,37,1
70,41,1,1
71,41,8,1
72,41,15,1
73,41,16,1
74,41,34,1
75,41,37,1
76,41,38,1
77,42,2,1
78,42,10,1
79,42,14,1
80,43,1,1
81,43,3,1
82,43,11,1
83,43,31,1
84,44,15,1
85,44,30,1
86,44,34,1
87,44,38,1
88,44,39,1
89,45,3,1
90,45,21,1
91,45,35,1
92,45,39,1
93,46,9,1
94,46,16,1
95,46,19,1
96,46,22,1
97,46,24,1
98,46,25,1
99,46,30,1
100,46,38,1
101,47,44,1
102,48,1,1
103,48,11,1
104,48,21,1
105,48,29,1
106,48,31,1
107,48,43,1
108,50,35,1
109,50,47,1
110,51,15,1
111,51,17,1
112,51,21,1
113,51,34,1
114,51,43,1
115,51,46,1
116,52,5,1
117,52,12,1
118,52,19,1
119,52,22,1
120,52,24,1
121,52,25,1
122,52,30,1
123,52,46,1
124,52,51,1
125,53,15,1
126,53,30,1
127,53,39,1
128,53,41,1
129,54,44,1
130,55,2,1
131,55,7,1
132,55,8,1
133,55,14,1
134,55,20,1
135,55,42,1
136,56,16,1
137,56,52,1
138,57,6,1
139,57,7,1
140,58,6,1
141,58,7,1
142,58,10,1
143,58,14,1
144,58,18,1
145,58,40,1
146,58,42,1
147,58,49,1
148,58,55,1
149,59,39,1
150,60,4,1
151,60,9,1
152,60,16,1
153,60,37,1
154,60,46,1
155,61,33,1
156,62,3,1
157,62,38,1
158,62,54,1
0,33,36,0
1,45,1,0
2,30,46,0
3,4,9,0
4,45,10,0
5,18,44,0
6,23,25,0
7,32,3,0
8,45,37,0
9,5,28,0
10,49,62,0
11,6,57,0
12,28,51,0
13,25,34,0
14,13,44,0
15,24,44,0
16,58,15,0
17,9,10,0
18,22,37,0
19,40,61,0
20,49,18,0
21,42,34,0
22,18,12,0
23,25,27,0
24,27,54,0
25,16,33,0
26,62,30,0
27,20,24,0
28,28,7,0
29,11,0,0
30,60,14,0
31,24,58,0
32,60,23,0
33,60,41,0
34,59,61,0
35,10,40,0
36,5,53,0
37,31,35,0
38,41,3,0
39,33,8,0
40,44,8,0
41,14,37,0
42,4,36,0
43,29,56,0
44,7,62,0
45,4,45,0
46,39,5,0
47,28,39,0
48,11,32,0
49,58,12,0
50,4,11,0
51,32,2,0
52,16,3,0
53,24,16,0
54,28,32,0
55,54,51,0
56,31,3,0
57,51,45,0
58,60,57,0
59,56,20,0
60,49,36,0
61,50,1,0
62,57,49,0
63,49,54,0
64,23,44,0
65,61,28,0
66,53,45,0
67,24,9,0
68,56,41,0
69,59,40,0
70,48,3,0
71,50,28,0
72,9,30,0
73,48,21,0
74,48,30,0
75,23,10,0
76,41,46,0
77,5,4,0
78,13,39,0
79,25,1,0
80,45,34,0
81,52,27,0
82,7,59,0
83,2,8,0
84,33,23,0
85,36,40,0
86,37,39,0
87,17,36,0
88,54,55,0
89,37,48,0
90,31,62,0
91,3,0,0
92,41,2,0
93,58,18,0
94,52,2,0
95,12,30,0
96,52,11,0
97,18,43,0
98,18,52,0
99,30,17,0
100,44,16,0
101,19,26,0
102,51,24,0
103,58,48,0
104,51,42,0
105,11,40,0
106,49,24,0
107,26,22,0
108,58,2,0
109,32,47,0
110,47,8,0
111,33,55,0
112,42,3,0
113,55,30,0
114,4,28,0
115,24,61,0
116,39,43,0
117,42,12,0
118,57,3,0
119,49,8,0
120,29,5,0
121,8,37,0
122,46,30,0
123,61,46,0
124,11,42,0
125,29,23,0
126,43,49,0
127,34,13,0
128,15,42,0
129,4,21,0
130,13,54,0
131,18,47,0
132,56,49,0
133,45,58,0
134,60,40,0
135,49,19,0
136,51,46,0
137,14,61,0
138,9,47,0
139,29,25,0
140,43,51,0
141,11,56,0
142,30,14,0
143,17,26,0
144,54,45,0
145,48,4,0
146,37,38,0
147,5,42,0
148,1,29,0
149,15,28,0
150,25,30,0
151,7,24,0
152,21,23,0
153,31,27,0
154,48,61,0
155,39,58,0
156,37,49,0
157,43,28,0
158,50,43,0
