,Source,Destination,Class,Page_Rank_Src,Page_Rank_Dst,Shortest_Path,adar,katz_s,katz_d,jaccard_followers,jaccard_followees,cosine_followers,cosine_followees
0,9,4,1,0.01946823072892962,0.015337298635206971,4,0.0,0.127367752533507,0.1261099049831772,0.09090909090909091,0.0,0.0,0.07559289460184544
1,10,6,1,0.01948958117425323,0.014565041462507533,4,0.0,0.12800457909473886,0.1254794498515617,0.2,0.0,0.0,0.17677669529663687
2,10,7,1,0.01948958117425323,0.019350718238827003,3,0.0,0.12800457909473886,0.12737098770269017,0.25,0.0,0.0,0.15152288168283162
3,11,1,1,0.011061176169119055,0.022137351964077664,3,0.0,0.12611288461887654,0.12862871105990423,0.16666666666666666,0.0,0.0,0.09938079899999065
4,11,3,1,0.011061176169119055,0.0237814782976943,2,0.0,0.12611288461887654,0.12984890519421774,0.14285714285714285,0.0,0.0,0.08131156281817417
5,14,6,1,0.014373954128126573,0.014565041462507533,2,0.0,0.12736148285617105,0.1254794498515617,0.1,0.0,0.0,0.0944911182523068
6,14,7,1,0.014373954128126573,0.019350718238827003,2,0.0,0.12736148285617105,0.12737098770269017,0.2727272727272727,0.0,0.0,0.16198477414681164
7,14,10,1,0.014373954128126573,0.01948958117425323,3,2.8442587098986194,0.12736148285617105,0.12800457909473886,0.36363636363636365,0.3333333333333333,0.5163977794943222,0.1889822365046136
8,15,1,1,0.0261466042726232,0.022137351964077664,3,0.0,0.129886808533509,0.12862871105990423,0.1111111111111111,0.0,0.0,0.06700252101728081
9,15,4,1,0.0261466042726232,0.015337298635206971,4,1.2850972089384687,0.129886808533509,0.1261099049831772,0.0,0.1111111111111111,0.20412414523193154,0.0
10,16,1,1,0.02507585178721103,0.022137351964077664,4,0.0,0.12799202675204935,0.12862871105990423,0.13333333333333333,0.0,0.0,0.07856742013183861
11,17,15,1,0.01984798181863269,0.0261466042726232,4,0.0,0.1267842564635878,0.129886808533509,0.3076923076923077,0.0,0.0,0.1484539238050411
