,Fitness,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,w11
0,0.5,0.1,4.0,2.0,0.1,0.1,0.1,3.0,2.0,2.0,2.0,2.0
1,0.5,0.09948998229949718,513.0,13.0,0.15384324653972148,0.9957877017013006,0.8568677552480446,1.0,8.0,5.0,4.0,4.0
2,0.5,0.7802263059649653,406.0,1.0,0.5213265005175197,0.2899752915155533,0.7687089775194497,1.0,5.0,5.0,8.0,10.0
3,0.5,0.5335434895838411,284.0,13.0,0.23468079550609922,0.08235141348315345,0.8909673551774384,0.0,7.0,3.0,10.0,9.0
4,0.5,0.12224370476231124,699.0,1.0,0.5213265005175197,0.2899752915155533,0.7687089775194497,0.0,5.0,5.0,8.0,10.0
5,0.5,0.3872320019032762,1263.0,0.0,0.5271736589628225,0.08088886418450614,0.8313470620784578,0.0,7.0,2.0,5.0,4.0
6,0.5,0.28582029944799325,307.0,1.0,0.12460220873470451,0.882064755965755,0.6422939380979996,0.0,7.0,6.0,3.0,7.0
7,0.5,0.28582029944799325,307.0,1.0,0.12460220873470451,0.39704347602945084,0.7775939220640194,0.0,7.0,6.0,3.0,7.0
8,0.5,0.09948998229949718,513.0,16.0,0.15384324653972148,0.8674392629792819,0.9130783772871875,0.0,8.0,4.0,4.0,4.0
9,0.5,0.7484428711769441,379.0,9.0,0.7603002787565643,0.1848016057886351,0.34599143713769637,0.0,7.0,5.0,8.0,3.0
10,0.5,0.09948998229949718,513.0,16.0,0.15384324653972148,0.8674392629792819,0.9130783772871875,0.0,8.0,4.0,4.0,4.0
11,0.5,0.09948998229949718,513.0,16.0,0.15384324653972148,0.6814091924040702,0.9130783772871875,0.0,8.0,4.0,4.0,4.0
12,0.5,0.3957676672738595,306.0,2.0,0.17425780389101642,0.4074347501898637,0.7290583595699434,1.0,4.0,5.0,6.0,4.0
13,0.5,0.7802263059649653,406.0,1.0,0.5213265005175197,0.2899752915155533,0.7687089775194497,0.0,5.0,3.0,8.0,10.0
14,0.5,0.7511714632885311,1332.0,9.0,0.7603002787565643,0.1848016057886351,0.8722044724472843,0.0,8.0,2.0,8.0,3.0
15,0.5,0.26649519717376213,306.0,2.0,0.766801251258388,0.4074347501898637,0.7290583595699434,0.0,4.0,5.0,3.0,7.0
16,0.5,0.7077670976434493,1160.0,13.0,0.23468079550609922,0.9590634588836247,0.8692310367813006,1.0,8.0,3.0,8.0,2.0
17,0.5,0.8005655452390186,284.0,13.0,0.23468079550609922,0.3266995343332291,0.8909673551774384,0.0,8.0,5.0,10.0,2.0
18,0.5,0.28582029944799325,646.0,1.0,0.12460220873470451,0.882064755965755,0.6422939380979996,0.0,3.0,6.0,3.0,7.0
19,0.5,0.8554051239976006,1455.0,15.0,0.15384324653972148,0.2755073699711161,0.763652150258083,0.0,7.0,2.0,4.0,4.0
20,0.5,0.7802263059649653,406.0,1.0,0.5213265005175197,0.2899752915155533,0.7687089775194497,1.0,5.0,5.0,8.0,7.0
21,0.5,0.27881404329480936,1324.0,11.0,0.08692578075533472,0.7746771783666221,0.3880623602760047,0.0,8.0,6.0,2.0,3.0
22,0.5,0.11365280244123184,1332.0,9.0,0.21806315079208982,0.1848016057886351,0.34599143713769637,0.0,3.0,2.0,8.0,3.0
23,0.5,0.3104885810861056,231.0,9.0,0.7603002787565643,0.1848016057886351,0.34599143713769637,0.0,7.0,6.0,3.0,8.0
24,0.5,0.09948998229949718,513.0,16.0,0.15384324653972148,0.8674392629792819,0.7810224143333367,0.0,8.0,4.0,4.0,4.0
25,0.4921875,0.7540293548163444,296.0,0.0,0.16135053413248435,0.08088886418450614,0.8313470620784578,0.0,7.0,2.0,6.0,9.0
26,0.4921875,0.8206410950703265,284.0,13.0,0.23468079550609922,0.9590634588836247,0.8909673551774384,1.0,8.0,2.0,8.0,2.0
27,0.4921875,0.42744850086533986,1376.0,2.0,0.766801251258388,0.4074347501898637,0.7290583595699434,0.0,4.0,5.0,6.0,7.0
28,0.4921875,0.5335434895838411,284.0,13.0,0.23468079550609922,0.9590634588836247,0.8909673551774384,0.0,8.0,5.0,10.0,2.0
29,0.484375,0.28582029944799325,307.0,4.0,0.12460220873470451,0.882064755965755,0.7248311841661258,0.0,4.0,6.0,6.0,4.0
30,0.484375,0.8209030645818127,1353.0,14.0,0.8389282137382824,0.28624612773102937,0.17257787517051146,1.0,8.0,6.0,3.0,7.0
31,0.484375,0.8209030645818127,1353.0,14.0,0.8389282137382824,0.28624612773102937,0.17257787517051146,1.0,8.0,6.0,6.0,7.0
32,0.484375,0.7540293548163444,367.0,1.0,0.12433002384576516,0.9215481214074449,0.8313470620784578,0.0,7.0,2.0,5.0,7.0
33,0.4765625,0.49387914803555677,1324.0,11.0,0.220967126756286,0.7746771783666221,0.9417147204629411,0.0,7.0,3.0,8.0,3.0
34,0.4765625,0.6308408936058724,1324.0,11.0,0.9012160898671269,0.7746771783666221,0.0157760206685256,0.0,7.0,5.0,2.0,2.0
