,Source,Destination,Class
0,1,2,1
1,3,4,1
2,5,6,1
3,1,7,1
4,8,9,1
5,10,11,1
6,12,13,1
7,14,15,1
8,16,17,1
9,18,19,1
10,20,7,1
11,16,21,1
12,1,22,1
13,10,23,1
14,24,25,1
15,10,26,1
16,27,28,1
17,20,2,1
18,29,26,1
19,30,13,1
20,31,28,1
21,16,32,1
22,33,34,1
23,29,11,1
24,35,36,1
25,10,37,1
26,38,2,1
27,31,39,1
28,40,41,1
29,29,42,1
30,31,43,1
31,10,42,1
32,44,45,1
33,46,47,1
34,48,43,1
35,24,49,1
36,50,9,1
37,51,52,1
38,53,54,1
39,10,55,1
40,56,43,1
41,57,58,1
42,16,59,1
43,60,61,1
44,27,62,1
45,63,64,1
46,65,66,1
47,67,68,1
48,48,28,1
49,69,70,1
50,71,72,1
51,73,74,1
52,75,76,1
53,77,78,1
54,56,28,1
55,31,79,1
56,80,11,1
57,38,81,1
58,29,23,1
59,27,82,1
60,53,83,1
61,84,85,1
62,86,87,1
63,38,76,1
64,88,89,1
65,90,2,1
66,91,92,1
67,93,94,1
68,95,96,1
69,44,97,1
70,98,14,1
71,10,99,1
72,100,85,1
73,101,7,1
74,27,102,1
75,56,79,1
76,103,6,1
77,104,105,1
78,5,52,1
79,27,106,1
80,67,107,1
81,38,108,1
82,10,109,1
83,110,111,1
84,10,112,1
85,113,75,1
86,29,114,1
87,10,115,1
88,16,116,1
89,117,14,1
90,27,43,1
91,90,118,1
92,119,120,1
93,38,121,1
94,122,14,1
95,97,123,1
96,124,125,1
97,56,82,1
98,8,126,1
99,127,128,1
100,129,130,1
101,1,131,1
102,132,133,1
103,134,11,1
104,8,135,1
105,136,14,1
106,137,138,1
107,139,14,1
108,27,140,1
109,75,113,1
110,48,39,1
111,29,141,1
112,78,77,1
113,69,142,1
114,143,144,1
115,145,28,1
116,73,128,1
117,146,147,1
118,73,127,1
119,148,70,1
120,29,149,1
121,52,150,1
122,27,145,1
123,151,152,1
124,153,154,1
125,124,94,1
126,51,150,1
127,56,145,1
128,155,156,1
129,31,157,1
130,18,158,1
131,101,2,1
132,159,160,1
133,29,161,1
134,31,62,1
135,162,163,1
136,48,31,1
137,104,164,1
138,129,165,1
139,1,166,1
140,33,74,1
141,31,102,1
142,38,7,1
143,127,167,1
144,168,169,1
145,151,170,1
146,5,171,1
147,5,163,1
148,172,173,1
149,174,76,1
150,38,22,1
151,175,176,1
152,38,177,1
